ST131_extra/536.fasta,ST131_extra/apec_o1.fasta,ST131_extra/cft073.fasta,ST131_extra/e2348_69.fasta,ST131_extra/ec958.fasta,ST131_extra/ed1a.fasta,ST131_extra/na114.fasta,ST131_extra/s88.fasta,ST131_extra/se15.fasta,ST131_extra/uti89.fasta
0,0.0131647,0.0116153,0.0191798,0.0175062,0.016012,0.0179266,0.0138086,0.0157632,0.0110893
0.0131647,0,0.0123039,0.0188909,0.0174579,0.0145402,0.0172359,0.0030935,0.0157801,0.00376965
0.0116153,0.0123039,0,0.0192898,0.0171821,0.0147982,0.0179204,0.0125971,0.016344,0.0114464
0.0191798,0.0188909,0.0192898,0,0.0198138,0.0200331,0.0202476,0.0189037,0.0187826,0.0184668
0.0175062,0.0174579,0.0171821,0.0198138,0,0.0188845,0.00210638,0.0165755,0.00565462,0.0171702
0.016012,0.0145402,0.0147982,0.0200331,0.0188845,0,0.0194654,0.0144229,0.0177003,0.0151686
0.0179266,0.0172359,0.0179204,0.0202476,0.00210638,0.0194654,0,0.0167039,0.00645658,0.0174338
0.0138086,0.0030935,0.0125971,0.0189037,0.0165755,0.0144229,0.0167039,0,0.0155225,0.00477437
0.0157632,0.0157801,0.016344,0.0187826,0.00565462,0.0177003,0.00645658,0.0155225,0,0.0155559
0.0110893,0.00376965,0.0114464,0.0184668,0.0171702,0.0151686,0.0174338,0.00477437,0.0155559,0
