ST131_extra/536.fasta,ST131_extra/apec_o1.fasta,ST131_extra/cft073.fasta,ST131_extra/e2348_69.fasta,ST131_extra/ec958.fasta,ST131_extra/ed1a.fasta,ST131_extra/na114.fasta,ST131_extra/s88.fasta,ST131_extra/se15.fasta,ST131_extra/uti89.fasta
0,0.0119058,0.0105613,0.0165106,0.0154322,0.013886,0.0157378,0.012526,0.0138957,0.00977508
0.0119058,0,0.0111056,0.0166375,0.0158815,0.0127632,0.015706,0.00254005,0.014372,0.00311139
0.0105613,0.0111056,0,0.0165216,0.0150951,0.0133781,0.0155108,0.0115921,0.0143671,0.0104836
0.0165106,0.0166375,0.0165216,0,0.0180031,0.0175479,0.0182761,0.0167708,0.0169161,0.0164831
0.0154322,0.0158815,0.0150951,0.0180031,0,0.0171587,0.00175962,0.0151208,0.00519059,0.0155318
0.013886,0.0127632,0.0133781,0.0175479,0.0171587,0,0.0173925,0.0128874,0.015994,0.0132273
0.0157378,0.015706,0.0155108,0.0182761,0.00175962,0.0173925,0,0.0151931,0.00576419,0.0157856
0.012526,0.00254005,0.0115921,0.0167708,0.0151208,0.0128874,0.0151931,0,0.0141989,0.00405971
0.0138957,0.014372,0.0143671,0.0169161,0.00519059,0.015994,0.00576419,0.0141989,0,0.0140174
0.00977508,0.00311139,0.0104836,0.0164831,0.0155318,0.0132273,0.0157856,0.00405971,0.0140174,0
